Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Date,Letterboxd URI,totalSeasons
Memories of Murder,2003,Not Rated,02 May 2003,132 min,"Crime, Drama, Mystery",Bong Joon Ho,"Bong Joon Ho, Kwang-rim Kim, Sung-bo Shim","Song Kang-ho, Kim Sang-kyung, Kim Roe-ha","In 1986, in the province of Gyunggi, in South Korea, a second young and beautiful woman is found dead, raped and tied and gagged with her underwear. Detective Park Doo-Man and Detective Cho Yong-koo, two brutal and stupid local detectives without any technique, investigate the murder using brutality and torturing the suspects, without any practical result. The Detective Seo Tae-Yoon from Seoul comes to the country to help the investigations and is convinced that a serial-killer is killing the women. When a third woman is found dead in the same ""modus-operandi"", the detectives find leads of the assassin.","Korean, English",South Korea,34 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BYmRjOWE5NmMtYTdkYS00ODFlLWJiMTMtYzE2NDZlZjlkZDQ0XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object]",82,8.1,"255,929",tt0353969,movie,N/A,"$15,357",N/A,N/A,True,,,
One Flew Over the Cuckoo's Nest,1975,R,21 Nov 1975,133 min,Drama,Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey","Jack Nicholson, Louise Fletcher, Michael Berryman","McMurphy has a criminal past and has once again gotten himself into trouble and is sentenced by the court. To escape labor duties in prison, McMurphy pleads insanity and is sent to a ward for the mentally unstable. Once here, McMurphy both endures and stands witness to the abuse and degradation of the oppressive Nurse Ratched, who gains superiority and power through the flaws of the other inmates. McMurphy and the other inmates band together to make a rebellious stance against the atrocious Nurse.",English,United States,Won 5 Oscars. 38 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",84,8.7,"1,141,863",tt0073486,movie,N/A,"$108,981,275",N/A,N/A,True,,,
Come and See,1985,Not Rated,03 Sep 1985,142 min,"Drama, Thriller, War",Elem Klimov,"Ales Adamovich, Elem Klimov","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius","The feature film directed by Elem Klimov, shot in the genre of military drama. The action takes place on the territory of Belarus in 1943. In the center of the story is a Belarusian boy, who witnesses the horrors of the Nazi punitive action, turning from a cheerful teenager into a gray-haired old man for two days.","Belarusian, Russian, German",Soviet Union,3 wins total,https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object]",N/A,8.3,"116,650",tt0091251,movie,N/A,"$71,909",N/A,N/A,True,,,
Magnolia,1999,R,07 Jan 2000,188 min,Drama,Paul Thomas Anderson,Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore","24 hours in L.A.; it's raining cats and dogs. Two parallel and intercut stories dramatize men about to die: both are estranged from a grown child, both want to make contact, and neither child wants anything to do with dad. Earl Partridge's son is a charismatic misogynist; Jimmy Gator's daughter is a cokehead and waif. A mild and caring nurse intercedes for Earl, reaching the son; a prayerful and upright beat cop meets the daughter, is attracted to her, and leads her toward a new calm. Meanwhile, guilt consumes Earl's young wife, while two whiz kids, one grown and a loser and the other young and pressured, face their situations. The weather, too, is quirky.","English, German, French",United States,Nominated for 3 Oscars. 28 wins & 59 nominations total,https://m.media-amazon.com/images/M/MV5BOWY0Zjk1YTMtMGFlYi00OTFmLWEyOTAtNmRkYjE0ZDJiZWMwXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",78,8.0,"341,915",tt0175880,movie,N/A,"$22,455,976",N/A,N/A,True,,,
The Texas Chain Saw Massacre,1974,R,11 Oct 1974,83 min,Horror,Tobe Hooper,"Kim Henkel, Tobe Hooper","Marilyn Burns, Edwin Neal, Allen Danziger","En route to visit their grandfather's grave (which has apparently been ritualistically desecrated), five teenagers drive past a slaughterhouse, pick up (and quickly drop) a sinister hitch-hiker, eat some delicious home-cured meat at a roadside gas station, before ending up at the old family home... where they're plunged into a never-ending nightmare as they meet a family of cannibals who more than make up in power tools what they lack in social skills...",English,United States,4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYjE1MGJkMjUtY2VkNi00N2U1LWI2NWEtMDExNGYzYjRkZTM0XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",91,7.4,"206,161",tt0072271,movie,N/A,"$30,859,000",N/A,N/A,True,,,
Evil Dead II,1987,R,13 Mar 1987,84 min,"Comedy, Horror",Sam Raimi,"Sam Raimi, Scott Spiegel","Bruce Campbell, Sarah Berry, Dan Hicks",Ashley Williams travels to a secluded cabin in the woods with his girlfriend Linda where they find a tape recording of a professor and a book of evil. This unleashes a bunch of evil spirits that constantly terrorize Ash. Meanwhile a journalist comes to the area to study the book of evil. Ash and her end up having to survive this swarm of evil until morning comes.,"English, Latin",United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMGMxMWVhMzAtYWRlOS00YzY1LTlkYTQtYjU5ZDM4MGI1YWFjXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,7.7,"193,621",tt0092991,movie,N/A,"$5,923,044",N/A,N/A,True,,,
Amadeus,1984,PG,19 Sep 1984,160 min,"Biography, Drama, Music",Milos Forman,"Peter Shaffer, Zdenek Mahler","F. Murray Abraham, Tom Hulce, Elizabeth Berridge","Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.","English, Italian, Latin, German, French","United States, France",Won 8 Oscars. 43 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",87,8.4,"458,647",tt0086879,movie,N/A,"$51,973,029",N/A,N/A,True,,,
Seven Samurai,1954,Not Rated,19 Nov 1956,207 min,"Action, Drama",Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Toshirô Mifune, Takashi Shimura, Keiko Tsushima","A veteran samurai, who has fallen on hard times, answers a village's request for protection from bandits. He gathers 6 other samurai to help him, and they teach the townspeople how to defend themselves, and they supply the samurai with three small meals a day. The film culminates in a giant battle when 40 bandits attack the village.",Japanese,Japan,Nominated for 2 Oscars. 5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",98,8.6,"391,392",tt0047478,movie,N/A,"$820,278",N/A,N/A,True,,,
Us,2019,R,22 Mar 2019,116 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss","In order to get away from their busy lives, the Wilson family takes a vacation to Santa Cruz, California with the plan of spending time with their friends, the Tyler family. On a day at the beach, their young son Jason almost wanders off, causing his mother Adelaide to become protective of her family. That night, four mysterious people break into Adelaide's childhood home where they're staying. The family is shocked to find out that the intruders look like them, only with grotesque appearances.",English,"China, Japan, United States",85 wins & 133 nominations total,https://m.media-amazon.com/images/M/MV5BMzhkMjFkN2YtODU2Ni00YWYwLWExN2MtOWNjZmQxM2U4YTM5XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",81,6.8,"378,708",tt6857112,movie,N/A,"$175,084,580",N/A,N/A,True,,,
Paths of Glory,1957,Approved,25 Dec 1957,88 min,"Drama, War",Stanley Kubrick,"Stanley Kubrick, Calder Willingham, Jim Thompson","Kirk Douglas, Ralph Meeker, Adolphe Menjou",The futility and irony of the war in the trenches in WWI is shown as a unit commander in the French army must deal with the mutiny of his men and a glory-seeking general after part of his force falls back under fire in an impossible attack.,"English, German, Latin",United States,Nominated for 1 BAFTA Award5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",90,8.4,"230,917",tt0050825,movie,N/A,N/A,N/A,N/A,True,,,
RocknRolla,2008,R,31 Oct 2008,114 min,"Action, Crime, Thriller",Guy Ritchie,Guy Ritchie,"Gerard Butler, Tom Wilkinson, Idris Elba","Lenny Cole, a London mob boss, puts the bite on all local real estate transactions. For substantial fees, he's helping Uri Omovich, a Russian developer. As a sign of good faith, Omovich loans Cole a valuable painting, promptly stolen off Cole's wall. While Cole's men, led by the dependable Archie, look for the canvas, three local petty criminals, the Wild Bunch, steal money from the Russian using inside information from his accountant, the lovely Stella. Meanwhile, a local drug-addled rocker, Johnny Quid, is reported drowned, and his connection to Cole is the key to unraveling the deceits and double crosses of life in the underworld.","English, Russian","United Kingdom, United States, France",1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ0NTk5Mzk2OV5BMl5BanBnXkFtZTcwMDE3NTE4MQ@@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",53,7.2,"272,877",tt1032755,movie,N/A,"$5,700,626",N/A,N/A,True,,,
Operation Fortune: Ruse de Guerre,2023,R,03 Mar 2023,114 min,"Action, Comedy, Thriller",Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Marn Davies","Jason Statham, Aubrey Plaza, Cary Elwes",An agent is recruited by a global intelligence alliance to track down and stop the sale of a deadly weapons technology that threatens to disrupt the world order.,"English, Japanese, Spanish, Turkish, Ukrainian, Hebrew","United Kingdom, United States, China, Indonesia, Turkey",N/A,https://m.media-amazon.com/images/M/MV5BYjk3MjcwMWQtZDFmMS00NTk2LTkxYWItNWU0NzhlZTFiNTE1XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",51,6.3,"104,579",tt7985704,movie,N/A,"$6,496,125",N/A,N/A,True,,,
Old,2021,PG-13,23 Jul 2021,108 min,"Drama, Mystery, Thriller",M. Night Shyamalan,"M. Night Shyamalan, Pierre-Oscar Lévy, Frederik Peeters","Gael García Bernal, Vicky Krieps, Rufus Sewell","This summer, visionary filmmaker M. Night Shyamalan unveils a chilling, mysterious new thriller about a family on a tropical holiday who discover that the secluded beach where they are relaxing for a few hours is somehow causing them to age rapidly - reducing their entire lives into a single day.",English,"China, Japan, United States",1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BM2JkZjI5MjktNmQwZC00ZmYxLTg0OTYtYmVhNGFkMGZlMGYyXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",55,5.8,"179,920",tt10954652,movie,N/A,"$48,276,510",N/A,N/A,True,,,
The Elephant Man,1980,PG,10 Oct 1980,124 min,"Biography, Drama",David Lynch,"Christopher De Vore, Eric Bergren, David Lynch","Anthony Hopkins, John Hurt, Anne Bancroft","In Victorian London, Dr. Frederick Treves with the London Hospital comes across a circus sideshow attraction run by a man named Bytes called ""The Elephant Man"". In actuality, the creature on display is indeed a man, twenty-one-year-old Joseph ""John"" Merrick, who has several physical deformities, including an oversized and disfigured skull, and an oversized and disfigured right shoulder. Brutish Bytes, his ""owner"", only wants whatever he can get economically by presenting Merrick as a freak. Treves manages to bring Merrick under his care at the hospital, not without several of its own obstacles, including being questioned by those in authority since Merrick cannot be cured. Treves initially believes Bytes' assertion that mute Merrick is an imbecile, but ultimately learns that Merrick can speak and is a well-read and articulate man. As news of Merrick hits the London newspapers, he becomes a celebrated curiosity amongst London's upper class, including with Mrs. Kendal, a famed actress. Despite treated much more humanely, the question becomes whether Treves' actions are a further exploitation of Merrick. And as Merrick becomes more famous, others try to get their two-cents worth from who still remains a curiosity and a freak to most, including to Bytes, who has since lost his meal ticket.","English, French",United States,Nominated for 8 Oscars. 11 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMGE3MDZhNmMtMmUxZS00MDJmLTgxYmQtOGU4ODU0Y2JmNDI1XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",78,8.2,"278,259",tt0080678,movie,N/A,"$26,010,864",N/A,N/A,True,,,
The General,1926,Passed,02 Jan 1927,78 min,"Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg","Buster Keaton, Marion Mack, Glen Cavender","Johnnie loves his train (""The General"") and Annabelle Lee. When the Civil War begins he is turned down for service because he's more valuable as an engineer. Annabelle thinks it's because he's a coward. Union spies capture The General with Annabelle on board. Johnnie must rescue both his loves.",None,United States,3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTVhM2Y1MDUtMDkxYi00Y2UxLWI2MTMtZjMzYTY4ODM4MGIzXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object]",N/A,8.1,"104,099",tt0017925,movie,N/A,N/A,N/A,N/A,True,,,
Frankenstein,2025,R,07 Nov 2025,149 min,"Drama, Fantasy, Horror",Guillermo del Toro,"Guillermo del Toro, Mary Shelley","Oscar Isaac, Jacob Elordi, Christoph Waltz","Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.","English, Danish, French","Mexico, United States",5 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BYzYzNDYxMTQtMTU4OS00MTdlLThhMTQtZjI4NGJmMTZmNmRiXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",77,7.5,"161,724",tt1312221,movie,N/A,N/A,N/A,N/A,True,,,
Freaks,1932,Not Rated,20 Feb 1932,64 min,"Drama, Horror",Tod Browning,"Clarence Aaron 'Tod' Robbins, Willis Goldbeck, Leon Gordon","Wallace Ford, Leila Hyams, Olga Baclanova","A circus trapeze artist, Cleopatra, takes an interest in Hans, a midget who works in the circus sideshow. Her interest however is in the money Hans will be inheriting and she is actually carrying on an affair with another circus performer, Hercules. Hans's fiancée does her best to convince him that he is being used but to no avail. At their wedding party, a drunken Cleopatra tells the sideshow freaks just what she thinks of them. Together, the freaks decide to make her one of their own.","English, German, French",United States,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDM1ODExZmItYjc2MS00MTM4LWIxMGItOWI0OWM0MzI3N2Q1XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",80,7.8,"53,322",tt0022913,movie,N/A,N/A,N/A,N/A,True,,,
Dracula,1992,R,13 Nov 1992,128 min,"Fantasy, Horror, Romance",Francis Ford Coppola,"Bram Stoker, James V. Hart","Gary Oldman, Winona Ryder, Anthony Hopkins","This version of Dracula is closely based on Bram Stoker's classic novel. Young barrister Jonathan Harker is assigned to a gloomy village in the mists of eastern Europe. He is captured and imprisoned by the undead vampire Dracula, who travels to London, inspired by a photograph of Harker's betrothed, Mina Murray. In Britain, Dracula begins a reign of seduction and terror, draining the life from Mina's closest friend, Lucy Westenra. Lucy's friends gather together to try to drive Dracula away.","English, Romanian, Greek, Bulgarian, Latin","United States, United Kingdom",Won 3 Oscars. 25 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BMmVhNzhlMzMtYjJkNy00ODU4LWJmMjUtYzdlMGI3MTQ3YzBhXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",57,7.4,"261,085",tt0103874,movie,N/A,"$82,522,790",N/A,N/A,True,,,
